19:31:27.993 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.2.Final
19:31:32.482 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 94304f89-adad-4790-b6bd-595f46b4be97_config-0
19:31:32.741 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 170 ms to scan 1 urls, producing 3 keys and 6 values 
19:31:32.863 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 40 ms to scan 1 urls, producing 4 keys and 9 values 
19:31:32.913 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 43 ms to scan 1 urls, producing 3 keys and 10 values 
19:31:33.664 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 744 ms to scan 203 urls, producing 0 keys and 0 values 
19:31:33.730 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 57 ms to scan 1 urls, producing 1 keys and 5 values 
19:31:33.785 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 51 ms to scan 1 urls, producing 1 keys and 7 values 
19:31:33.841 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 37 ms to scan 1 urls, producing 2 keys and 8 values 
19:31:34.226 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 379 ms to scan 203 urls, producing 0 keys and 0 values 
19:31:34.229 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [94304f89-adad-4790-b6bd-595f46b4be97_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
19:31:34.230 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [94304f89-adad-4790-b6bd-595f46b4be97_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$332/237373286
19:31:34.231 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [94304f89-adad-4790-b6bd-595f46b4be97_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$333/742255664
19:31:34.232 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [94304f89-adad-4790-b6bd-595f46b4be97_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
19:31:34.233 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [94304f89-adad-4790-b6bd-595f46b4be97_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
19:31:34.255 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [94304f89-adad-4790-b6bd-595f46b4be97_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:31:36.339 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [94304f89-adad-4790-b6bd-595f46b4be97_config-0] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1647689495870_127.0.0.1_61069
19:31:36.342 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [94304f89-adad-4790-b6bd-595f46b4be97_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
19:31:36.343 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [94304f89-adad-4790-b6bd-595f46b4be97_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$342/1164241227
19:31:36.343 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [94304f89-adad-4790-b6bd-595f46b4be97_config-0] Notify connected event to listeners.
19:31:36.539 [main] INFO  c.s.f.SSRTFileApplication - [logStartupProfileInfo,646] - The following 1 profile is active: "dev"
19:31:43.774 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9300"]
19:31:43.777 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
19:31:43.777 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.58]
19:31:44.389 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
19:31:47.151 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 74eccc6a-f031-4d9a-aeab-59f77ee3150d
19:31:47.152 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [74eccc6a-f031-4d9a-aeab-59f77ee3150d] RpcClient init label, labels = {module=naming, source=sdk}
19:31:47.157 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [74eccc6a-f031-4d9a-aeab-59f77ee3150d] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
19:31:47.158 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [74eccc6a-f031-4d9a-aeab-59f77ee3150d] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
19:31:47.159 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [74eccc6a-f031-4d9a-aeab-59f77ee3150d] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
19:31:47.160 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [74eccc6a-f031-4d9a-aeab-59f77ee3150d] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:31:47.316 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [74eccc6a-f031-4d9a-aeab-59f77ee3150d] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1647689507197_127.0.0.1_61086
19:31:47.316 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [74eccc6a-f031-4d9a-aeab-59f77ee3150d] Notify connected event to listeners.
19:31:47.316 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [74eccc6a-f031-4d9a-aeab-59f77ee3150d] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
19:31:47.319 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [74eccc6a-f031-4d9a-aeab-59f77ee3150d] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$342/1164241227
19:31:51.051 [nacos-grpc-client-executor-7] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [74eccc6a-f031-4d9a-aeab-59f77ee3150d] Receive server push request, request = NotifySubscriberRequest, requestId = 86
19:31:51.086 [nacos-grpc-client-executor-7] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [74eccc6a-f031-4d9a-aeab-59f77ee3150d] Ack server push request, request = NotifySubscriberRequest, requestId = 86
19:31:51.099 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9300"]
19:31:51.199 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,75] - nacos registry, DEFAULT_GROUP ssrt-file 192.168.1.4:9300 register finished
19:31:51.720 [nacos-grpc-client-executor-11] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [74eccc6a-f031-4d9a-aeab-59f77ee3150d] Receive server push request, request = NotifySubscriberRequest, requestId = 87
19:31:51.737 [nacos-grpc-client-executor-11] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [74eccc6a-f031-4d9a-aeab-59f77ee3150d] Ack server push request, request = NotifySubscriberRequest, requestId = 87
19:31:52.545 [main] INFO  c.s.f.SSRTFileApplication - [logStarted,61] - Started SSRTFileApplication in 30.812 seconds (JVM running for 38.827)
19:31:53.077 [RMI TCP Connection(4)-127.0.0.1] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
19:37:03.476 [nacos-grpc-client-executor-126] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [94304f89-adad-4790-b6bd-595f46b4be97_config-0] Receive server push request, request = ConfigChangeNotifyRequest, requestId = 91
19:37:03.498 [nacos-grpc-client-executor-126] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [94304f89-adad-4790-b6bd-595f46b4be97_config-0] Ack server push request, request = ConfigChangeNotifyRequest, requestId = 91
19:43:58.386 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,90] - De-registering from Nacos Server now...
19:43:58.403 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,110] - De-registration finished.
19:43:58.739 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,454] - Shutdown rpc client, set status to shutdown
19:43:58.740 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,456] - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@1ed149f4[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
19:43:58.741 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [closeConnection,591] - Close current connection 1647689507197_127.0.0.1_61086
19:43:58.771 [nacos-grpc-client-executor-252] INFO  c.a.n.c.r.c.g.GrpcClient - [printIfInfoEnabled,60] - [1647689507197_127.0.0.1_61086]Ignore complete event,isRunning:false,isAbandon=false
19:43:58.799 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.c.g.GrpcClient - [shutdown,85] - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@4248fe88[Running, pool size = 6, active threads = 0, queued tasks = 0, completed tasks = 253]
19:44:13.221 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.2.Final
