00:29:00.350 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,90] - De-registering from Nacos Server now...
00:29:00.364 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,110] - De-registration finished.
00:29:00.704 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,454] - Shutdown rpc client, set status to shutdown
00:29:00.706 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,456] - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@30188578[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
00:29:00.706 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [closeConnection,591] - Close current connection 1647618603719_127.0.0.1_52670
00:29:00.709 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.c.g.GrpcClient - [shutdown,85] - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@313937b3[Running, pool size = 5, active threads = 0, queued tasks = 0, completed tasks = 1572]
00:29:17.825 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.2.Final
00:29:19.062 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 80c0a1ac-0aa8-4d99-b3c2-08b2ace732c8_config-0
00:29:19.279 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 117 ms to scan 1 urls, producing 3 keys and 6 values 
00:29:19.426 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 44 ms to scan 1 urls, producing 4 keys and 9 values 
00:29:19.465 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 34 ms to scan 1 urls, producing 3 keys and 10 values 
00:29:19.757 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 287 ms to scan 212 urls, producing 0 keys and 0 values 
00:29:19.775 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 17 ms to scan 1 urls, producing 1 keys and 5 values 
00:29:19.797 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 19 ms to scan 1 urls, producing 1 keys and 7 values 
00:29:19.820 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 20 ms to scan 1 urls, producing 2 keys and 8 values 
00:29:20.019 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 196 ms to scan 212 urls, producing 0 keys and 0 values 
00:29:20.024 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [80c0a1ac-0aa8-4d99-b3c2-08b2ace732c8_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
